1,1276879.0001351386,89377.99998900294
1,1276861.9998410493,88741.99994845688
2,1276866.0001611412,88077.99996389449
2,1276854.9998550564,87591.99995148182
3,1276854.9998550564,87591.99995148182
3,1276845.999873057,87111.99992707372
4,1276845.999873057,87111.99992707372
4,1276838.9998870492,86812.99986881018
4,1276821.9999210387,86791.99991080165
5,1276821.9999210387,86791.99991080165
5,1276802.9999590367,86785.99992279708
5,1276793.9999770373,86772.99994879961
5,1276790.9999830276,86618.99992865324
5,1276784.999995038,86225.0000603646
5,1276781.000003025,86172.99983626604
6,1208660.000067696,74334.99988630414
6,1208591.9998755902,74367.00015039742
6,1208557.9999435693,74381.00012239814
6,1208528.0000035614,74388.00010840595
6,1208510.0000395626,74390.00010441244
6,1208494.0000715554,74389.00010640919
6,1208479.0001015514,74387.0001104027
6,1208469.0001215488,74385.00011441112
